sido_code,sigungu_code,emd_code,week_type,velocity_AVRG_NRMLT,시도,시군구
11,11060,1106071,weekday,41.92,서울특별시,동대문구
11,11210,1121057,weekday,41.91,서울특별시,관악구
11,11140,1114076,weekday,46.14,서울특별시,마포구
11,11110,1111059,weekday,51.99,서울특별시,노원구
11,11180,1118055,weekday,36.11,서울특별시,금천구
11,11240,1124054,weekday,38.42,서울특별시,송파구
11,11200,1120070,weekday,38.94,서울특별시,동작구
11,11220,1122061,weekday,43.16,서울특별시,서초구
11,11040,1104056,weekday,40.1,서울특별시,성동구
11,11070,1107055,weekday,61.67,서울특별시,중랑구
11,11170,1117054,weekday,38.69,서울특별시,구로구
11,11140,1114059,weekday,49.04,서울특별시,마포구
11,11150,1115064,weekday,37.09,서울특별시,양천구
11,11150,1115065,weekday,42.15,서울특별시,양천구
11,11220,1122056,weekday,60.53,서울특별시,서초구
11,11120,1112072,weekday,42.04,서울특별시,은평구
11,11130,1113073,weekday,44.05,서울특별시,서대문구
11,11040,1104052,weekday,38.86,서울특별시,성동구
11,11240,1124081,weekday,44.44,서울특별시,송파구
11,11230,1123072,weekday,40.49,서울특별시,강남구
11,11130,1113068,weekday,45.75,서울특별시,서대문구
11,11210,1121082,weekday,51.29,서울특별시,관악구
11,11160,1116066,weekday,45.1,서울특별시,강서구
11,11030,1103070,weekday,53.82,서울특별시,용산구
11,11250,1125056,weekday,56.56,서울특별시,강동구
11,11020,1102058,weekday,46.42,서울특별시,중구
11,11070,1107068,weekday,41.69,서울특별시,중랑구
11,11170,1117069,weekday,42.45,서울특별시,구로구
11,11100,1110056,weekday,36.92,서울특별시,도봉구
11,11080,1108060,weekday,37.78,서울특별시,성북구
11,11070,1107060,weekday,50.83,서울특별시,중랑구
11,11140,1114070,weekday,83.33,서울특별시,마포구
11,11060,1106089,weekday,41.6,서울특별시,동대문구
11,11110,1111078,weekday,40.26,서울특별시,노원구
11,11020,1102071,weekday,49.92,서울특별시,중구
11,11150,1115052,weekday,41.26,서울특별시,양천구
11,11140,1114060,weekday,44.01,서울특별시,마포구
11,11170,1117067,weekday,54.35,서울특별시,구로구
11,11250,1125063,weekday,41.9,서울특별시,강동구
11,11100,1110053,weekday,39.71,서울특별시,도봉구
11,11230,1123071,weekday,49.06,서울특별시,강남구
11,11050,1105061,weekday,52.49,서울특별시,광진구
11,11210,1121071,weekday,40.03,서울특별시,관악구
11,11240,1124063,weekday,41.79,서울특별시,송파구
11,11010,1101071,weekday,49.65,서울특별시,종로구
11,11040,1104071,weekday,38.47,서울특별시,성동구
