sido_code,sigungu_code,emd_code,week_type,velocity_AVRG,시도,시군구
11,11150,1115065,weekday,26.09,서울특별시,양천구
11,11220,1122056,weekday,34.41,서울특별시,서초구
11,11120,1112072,weekday,18.84,서울특별시,은평구
11,11130,1113073,weekday,24.56,서울특별시,서대문구
11,11040,1104052,weekday,18.88,서울특별시,성동구
11,11240,1124081,weekday,24.25,서울특별시,송파구
11,11230,1123072,weekday,21.78,서울특별시,강남구
11,11130,1113068,weekday,24.56,서울특별시,서대문구
11,11210,1121082,weekday,33.03,서울특별시,관악구
11,11160,1116066,weekday,23.79,서울특별시,강서구
11,11030,1103070,weekday,25.22,서울특별시,용산구
11,11250,1125056,weekday,37.89,서울특별시,강동구
11,11020,1102058,weekday,28.59,서울특별시,중구
11,11070,1107068,weekday,25.51,서울특별시,중랑구
11,11170,1117069,weekday,24.58,서울특별시,구로구
11,11100,1110056,weekday,20.27,서울특별시,도봉구
11,11080,1108060,weekday,23.41,서울특별시,성북구
11,11070,1107060,weekday,24.07,서울특별시,중랑구
11,11140,1114070,weekday,32.8,서울특별시,마포구
11,11060,1106089,weekday,21.07,서울특별시,동대문구
11,11110,1111078,weekday,21.67,서울특별시,노원구
11,11020,1102071,weekday,25.87,서울특별시,중구
11,11150,1115052,weekday,24.26,서울특별시,양천구
11,11140,1114060,weekday,24.33,서울특별시,마포구
11,11170,1117067,weekday,21.87,서울특별시,구로구
11,11250,1125063,weekday,20.07,서울특별시,강동구
11,11100,1110053,weekday,18.4,서울특별시,도봉구
11,11230,1123071,weekday,29.44,서울특별시,강남구
11,11050,1105061,weekday,25.14,서울특별시,광진구
11,11210,1121071,weekday,20.63,서울특별시,관악구
11,11240,1124063,weekday,23.3,서울특별시,송파구
11,11010,1101071,weekday,20.87,서울특별시,종로구
11,11040,1104071,weekday,20.8,서울특별시,성동구
11,11240,1124064,weekday,33.44,서울특별시,송파구
11,11110,1111061,weekday,19.33,서울특별시,노원구
11,11070,1107071,weekday,21.37,서울특별시,중랑구
11,11100,1110062,weekday,23.01,서울특별시,도봉구
11,11230,1123051,weekday,27.26,서울특별시,강남구
11,11060,1106083,weekday,22.81,서울특별시,동대문구
11,11120,1112057,weekday,17.39,서울특별시,은평구
11,11030,1103052,weekday,29.8,서울특별시,용산구
11,11200,1120071,weekday,24.58,서울특별시,동작구
11,11080,1108068,weekday,27.24,서울특별시,성북구
11,11080,1108078,weekday,24.15,서울특별시,성북구
11,11030,1103065,weekday,19.68,서울특별시,용산구
11,11190,1119068,weekday,27.18,서울특별시,영등포구
11,11150,1115057,weekday,24.79,서울특별시,양천구
11,11050,1105067,weekday,33.42,서울특별시,광진구
11,11250,1125066,weekday,29.05,서울특별시,강동구
11,11250,1125072,weekday,21.02,서울특별시,강동구
11,11120,1112060,weekday,21.43,서울특별시,은평구
11,11020,1102072,weekday,20.18,서울특별시,중구
11,11230,1123063,weekday,20.19,서울특별시,강남구
23,23060,2306056,weekday,23.47,인천광역시,부평구
23,23060,2306054,weekday,20.92,인천광역시,부평구
23,23010,2301066,weekday,30.22,인천광역시,인천_중구
23,23010,2301056,weekday,25.84,인천광역시,인천_중구
23,23050,2305057,weekday,24.64,인천광역시,남동구
23,23030,2303071,weekday,20.1,인천광역시,남구
23,23070,2307062,weekday,23.21,인천광역시,계양구
23,23010,2301057,weekday,24.36,인천광역시,인천_중구
23,23080,2308053,weekday,27.15,인천광역시,서구
23,23060,2306051,weekday,20.52,인천광역시,부평구
23,23050,2305063,weekday,22.47,인천광역시,남동구
23,23020,2302052,weekday,24.4,인천광역시,동구
23,23310,2331039,weekday,53.25,인천광역시,강화군
23,23030,2303057,weekday,26.47,인천광역시,남구
23,23010,2301063,weekday,46.28,인천광역시,인천_중구
23,23030,2303074,weekday,34.44,인천광역시,남구
23,23030,2303070,weekday,26.23,인천광역시,남구
23,23080,2308063,weekday,23.95,인천광역시,서구
23,23050,2305059,weekday,24.5,인천광역시,남동구
23,23050,2305055,weekday,21.41,인천광역시,남동구
23,23080,2308051,weekday,30.08,인천광역시,서구
23,23020,2302058,weekday,27.87,인천광역시,동구
23,23010,2301065,weekday,43.98,인천광역시,인천_중구
23,23030,2303065,weekday,22.05,인천광역시,남구
