집계일자,콘존ID,DSRC차종유형구분코드,평균속도
20220201,0150CZE130,1,80.41
20220201,0150CZE130,2,78.36
20220201,0150CZE140,1,75.51
20220201,0150CZE140,2,67.76
20220201,0150CZE150,1,53.62
20220201,0150CZE150,2,66.28
20220201,0150CZE160,1,98.76
20220201,0150CZE160,2,84.8
20220201,0150CZE170,1,82.17
20220201,0150CZE170,2,74.45
20220201,0150CZE180,1,86.55
20220201,0150CZE180,2,84.12
20220201,0150CZE190,1,86.29
20220201,0150CZE190,2,70.56
20220201,0150CZE200,1,76.51
20220201,0150CZE200,2,57.64
20220201,0150CZE210,1,70.66
20220201,0150CZE210,2,68.28
20220201,0150CZE220,1,79.9
20220201,0150CZE220,2,81.75
20220201,0150CZE230,1,75.82
20220201,0150CZE230,2,78.17
20220201,0150CZE240,1,70.84
20220201,0150CZE240,2,71.11
20220201,0150CZE250,1,52.97
20220201,0150CZE250,2,48.08
20220201,0150CZE260,1,48.59
20220201,0150CZE260,2,39.23
20220201,0150CZE270,1,57.51
20220201,0150CZE270,2,53.3
20220201,0150CZE280,1,81.4
20220201,0150CZE280,2,81.87
20220201,0150CZE290,1,63.18
20220201,0150CZE290,2,57.82
20220201,0150CZE300,1,65.01
20220201,0150CZE300,2,64.52
20220201,0150CZE305,1,83.78
20220201,0150CZE305,2,83.1
20220201,0150CZE310,1,66.66
20220201,0150CZE310,2,72.3
20220201,0150CZE315,1,64.61
20220201,0150CZE315,2,69.02
20220201,0150CZE320,1,74.88
20220201,0150CZE320,2,76.4
20220201,0150CZE330,1,35.95
20220201,0150CZE330,2,0
20220201,0150CZE340,1,80.86
20220201,0150CZE340,2,83.51
20220201,0150CZE350,1,0
20220201,0150CZE350,2,0
20220201,0150CZE360,1,0
20220201,0150CZE360,2,0
20220201,0150CZE370,1,0
20220201,0150CZE370,2,0
20220201,0150CZE380,1,0
20220201,0150CZE380,2,0
20220201,0150CZE390,1,0
20220201,0150CZE390,2,0
20220201,0150CZS005,1,0
20220201,0150CZS005,2,0
20220201,0150CZS010,1,0
20220201,0150CZS010,2,0
20220201,0150CZS020,1,0
20220201,0150CZS020,2,0
20220201,0150CZS030,1,99.66
20220201,0150CZS030,2,98.12
20220201,0150CZS040,1,108.06
20220201,0150CZS040,2,94.35
20220201,0150CZS050,1,78.9
20220201,0150CZS050,2,83.73
20220201,0150CZS055,1,114.1
20220201,0150CZS055,2,96.59
20220201,0150CZS060,1,105.45
20220201,0150CZS060,2,83.83
20220201,0150CZS070,1,110.25
20220201,0150CZS070,2,88.81
20220201,0150CZS080,1,111.01
20220201,0150CZS080,2,98.37
20220201,0150CZS090,1,74.27
20220201,0150CZS090,2,88.91
20220201,0150CZS100,1,103.04
20220201,0150CZS100,2,99.29
20220201,0150CZS110,1,101.75
20220201,0150CZS110,2,96.43
20220201,0150CZS120,1,103.73
20220201,0150CZS120,2,97.04
20220201,0150CZS130,1,106.49
20220201,0150CZS130,2,101.98
20220201,0150CZS140,1,78.16
20220201,0150CZS140,2,100.47
20220201,0150CZS150,1,95.65
20220201,0150CZS150,2,99.1
20220201,0150CZS160,1,102.02
20220201,0150CZS160,2,101.23
20220201,0150CZS170,1,85.02
20220201,0150CZS170,2,89.52
20220201,0150CZS180,1,93.45
20220201,0150CZS180,2,89.13
20220201,0150CZS190,1,95.49
20220201,0150CZS190,2,65.27
20220201,0150CZS200,1,92.13
20220201,0150CZS200,2,63.7
20220201,0150CZS210,1,90.18
20220201,0150CZS210,2,97.7
20220201,0150CZS220,1,100.42
20220201,0150CZS220,2,97.57
20220201,0150CZS230,1,75.94
20220201,0150CZS230,2,92.24
20220201,0150CZS240,1,94.2
20220201,0150CZS240,2,93.17
20220201,0150CZS250,1,93.43
20220201,0150CZS250,2,92.26
20220201,0150CZS260,1,91.86
20220201,0150CZS260,2,91.04
20220201,0150CZS270,1,78.42
20220201,0150CZS270,2,81.43
20220201,0150CZS280,1,96.44
20220201,0150CZS280,2,92.01
20220201,0150CZS290,1,98.65
20220201,0150CZS290,2,95.8
20220201,0150CZS300,1,96.98
20220201,0150CZS300,2,88.11
20220201,0150CZS305,1,93.97
20220201,0150CZS305,2,85.68
20220201,0150CZS310,1,85.47
20220201,0150CZS310,2,89.58
20220201,0150CZS315,1,81.5
20220201,0150CZS315,2,81.39
20220201,0150CZS320,1,85.19
20220201,0150CZS320,2,76.51
20220201,0150CZS330,1,41.02
20220201,0150CZS330,2,0
20220201,0150CZS340,1,82.4
20220201,0150CZS340,2,76.8
20220201,0150CZS350,1,95.25
20220201,0150CZS350,2,83.76
20220201,0150CZS360,1,103.31
20220201,0150CZS360,2,103.94
20220201,0150CZS370,1,0
20220201,0150CZS370,2,0
20220201,0150CZS380,1,0
20220201,0150CZS380,2,0
20220201,0150CZS390,1,0
20220201,0150CZS390,2,0
20220201,0153CZE010,1,0
20220201,0153CZE010,2,0
20220201,0153CZE020,1,0
20220201,0153CZE020,2,0
20220201,0153CZE025,1,0
20220201,0153CZE025,2,0
20220201,0153CZE030,1,0
20220201,0153CZE030,2,0
20220201,0153CZE040,1,0
20220201,0153CZE040,2,0
20220201,0153CZS010,1,0
20220201,0153CZS010,2,0
20220201,0153CZS020,1,0
20220201,0153CZS020,2,0
20220201,0153CZS025,1,0
20220201,0153CZS025,2,0
20220201,0153CZS030,1,0
20220201,0153CZS030,2,0
20220201,0153CZS040,1,0
20220201,0153CZS040,2,0
20220201,0160CZE010,1,87.08
20220201,0160CZE010,2,92.26
20220201,0160CZE020,1,0
20220201,0160CZE020,2,0
20220201,0160CZE030,1,0
20220201,0160CZE030,2,0
20220201,0160CZS010,1,91.62
20220201,0160CZS010,2,91.69
20220201,0160CZS020,1,0
20220201,0160CZS020,2,0
20220201,0160CZS030,1,0
20220201,0160CZS030,2,0
20220201,0170CZE010,1,0
20220201,0170CZE010,2,0
20220201,0170CZE020,1,0
20220201,0170CZE020,2,0
20220201,0170CZE030,1,0
20220201,0170CZE030,2,0
20220201,0170CZE040,1,0
20220201,0170CZE040,2,0
20220201,0170CZE050,1,0
20220201,0170CZE050,2,0
20220201,0170CZE060,1,0
20220201,0170CZE060,2,0
20220201,0170CZE070,1,0
20220201,0170CZE070,2,0
20220201,0170CZE075,1,0
20220201,0170CZE075,2,0
20220201,0170CZE080,1,0
20220201,0170CZE080,2,0
20220201,0170CZE110,1,0
