sido_code,sigungu_code,emd_code,week_type,ALL_VKT,PSCR_VKT,BUS_VKT,FGCR_VKT,시도,시군구
11,11010,1101064,weekday,80187,64577,437,15173,서울특별시,종로구
11,11060,1106086,weekday,83564,64013,583,18967,서울특별시,동대문구
11,11240,1124071,weekday,107551,92189,717,14645,서울특별시,송파구
11,11160,1116051,weekday,521749,403548,10198,108003,서울특별시,강서구
11,11220,1122060,weekday,242356,197646,2084,42626,서울특별시,서초구
11,11010,1101061,weekday,377840,298153,2260,77427,서울특별시,종로구
11,11230,1123053,weekday,245330,201427,1998,41905,서울특별시,강남구
11,11140,1114071,weekday,51845,43315,218,8312,서울특별시,마포구
11,11220,1122068,weekday,818891,668494,10693,139705,서울특별시,서초구
11,11030,1103064,weekday,383988,301150,8481,74357,서울특별시,용산구
11,11050,1105056,weekday,98014,75621,934,21460,서울특별시,광진구
11,11040,1104056,weekday,126732,98981,773,26979,서울특별시,성동구
11,11250,1125065,weekday,98460,84132,622,13706,서울특별시,강동구
11,11100,1110057,weekday,93735,81512,188,12034,서울특별시,도봉구
11,11210,1121080,weekday,84224,66430,573,17221,서울특별시,관악구
11,11050,1105057,weekday,157440,124255,4234,28951,서울특별시,광진구
