sido_code,sigungu_code,emd_code,week_type,ALL_AADT,PSCR_AADT,BUS_AADT,FGCR_AADT,시도,시군구
11,11100,1110060,weekday,9729,8287,33,1409,서울특별시,도봉구
11,11190,1119062,weekday,27119,21339,307,5472,서울특별시,영등포구
11,11250,1125055,weekday,4754,4115,14,625,서울특별시,강동구
11,11190,1119070,weekday,9266,7093,48,2125,서울특별시,영등포구
11,11010,1101054,weekday,7983,6281,38,1664,서울특별시,종로구
11,11080,1108064,weekday,16313,12816,105,3391,서울특별시,성북구
11,11020,1102052,weekday,11629,9073,67,2488,서울특별시,중구
11,11210,1121052,weekday,9210,7253,49,1908,서울특별시,관악구
11,11160,1116064,weekday,10769,8510,246,2013,서울특별시,강서구
11,11250,1125061,weekday,6272,5464,18,790,서울특별시,강동구
11,11170,1117062,weekday,4767,3385,313,1069,서울특별시,구로구
11,11240,1124060,weekday,6676,5849,29,798,서울특별시,송파구
11,11160,1116059,weekday,21090,16533,171,4386,서울특별시,강서구
11,11040,1104057,weekday,3092,2355,14,722,서울특별시,성동구
11,11030,1103064,weekday,44289,34735,978,8576,서울특별시,용산구
11,11240,1124059,weekday,14331,12154,91,2086,서울특별시,송파구
11,11040,1104073,weekday,19107,15100,330,3678,서울특별시,성동구
11,11210,1121057,weekday,22046,17663,182,4201,서울특별시,관악구
11,11120,1112073,weekday,5711,4726,18,966,서울특별시,은평구
11,11130,1113065,weekday,14076,11304,71,2701,서울특별시,서대문구
11,11020,1102055,weekday,12635,9897,81,2658,서울특별시,중구
11,11200,1120063,weekday,22933,18584,234,4116,서울특별시,동작구
11,11110,1111074,weekday,16323,12882,146,3295,서울특별시,노원구
11,11120,1112055,weekday,8209,6848,30,1330,서울특별시,은평구
11,11230,1123064,weekday,15440,12786,134,2520,서울특별시,강남구
11,11080,1108062,weekday,6611,5351,28,1232,서울특별시,성북구
11,11090,1109073,weekday,5671,4886,14,772,서울특별시,강북구
11,11240,1124075,weekday,9437,8198,44,1194,서울특별시,송파구
11,11160,1116053,weekday,8621,6843,56,1722,서울특별시,강서구
11,11110,1111056,weekday,11487,9012,119,2356,서울특별시,노원구
11,11130,1113052,weekday,7546,5995,50,1501,서울특별시,서대문구
11,11080,1108072,weekday,14869,11784,108,2976,서울특별시,성북구
11,11160,1116065,weekday,25031,19202,788,5040,서울특별시,강서구
11,11240,1124071,weekday,9274,7949,62,1263,서울특별시,송파구
11,11060,1106071,weekday,9595,7200,48,2347,서울특별시,동대문구
11,11010,1101064,weekday,15674,12623,85,2966,서울특별시,종로구
11,11240,1124068,weekday,9966,8546,69,1352,서울특별시,송파구
11,11110,1111076,weekday,10912,8633,128,2151,서울특별시,노원구
11,11190,1119061,weekday,16464,12920,165,3378,서울특별시,영등포구
